fake_root,real_root,input_size,test_loss,test_accuracy,precision,recall,f1,AP,mAP,TP,FP,TN,FN
/media/shah/GCC_MasterPlan/RA_CV/NPR-DeepfakeDetections/dataset/IDDPM/lsun_bedroom/1_fake,/media/shah/GCC_MasterPlan/RA_CV/NPR-DeepfakeDetections/dataset/IDDPM/lsun_bedroom/0_real,512,1.1742,0.5357,0.5212,0.8775,0.6540,0.4514,0.4514,1755,1612,388,245
/media/shah/GCC_MasterPlan/RA_CV/EvolvingThreat/Sec3/SD dataset/SD dataset/test/fake,/media/shah/GCC_MasterPlan/RA_CV/EvolvingThreat/Sec3/SD dataset/SD dataset/test/real,512,6.7616,0.4995,0.0000,0.0000,0.0000,0.6201,0.6201,0,1,999,1000
